Time,Death,location id ,rates id,name,Status Since,Entry time (days),Survival time,Survived?
91,1,137269063,69009210023,TRIBE CONTEMPORARY RUGS LTD,01/04/2010,0,91,
91,1,960725000,69005801008,SERAPHINE LTD,01/04/2010,0,91,
91,1,6477509000,1.53E+11,SOO LEE LTD,01/04/2010,0,91,
275,1,41452063,0015300080000B,MOLTON BROWN LTD,01/04/2010,0,275,
365,1,100496063,1.59E+11,L.A.G.I CONTRACTORS LTD - IN LIQUIDATION,01/04/2010,0,365,
365,1,160077063,001530009A1044,CANDIES GALORE LTD,01/04/2010,0,365,
456,1,4658815000,9.91E+13,REISS LIMITED,01/04/2010,0,456,
548,1,102497063,1.53E+11,,01/04/2010,0,548,
548,1,102506063,1.53E+11,THE HI-END LIMITED,01/04/2010,0,548,
640,1,67618063,1.54E+11,GINGER & WHITE LIMITED IN LIQUIDATION,01/04/2010,0,640,
731,1,178488063,1.54E+11,,01/04/2010,0,731,
731,1,216196063,1.59E+11,MASSIVE INTERACTIVE PTY LTD,17/11/2011,595,136,
731,1,5381696000,1.84E+11,CHROME-ALLOYING CO.LTD (THE),01/04/2010,0,731,
760,1,102512063,1.53E+11,MONSTER WORLDWIDE LTD,01/05/2011,395,365,
822,1,2482986000,1.53E+11,WILLOW TREE PRESS LTD,01/04/2010,0,822,
914,1,102498063,1.53E+11,3 UK RETAIL LTD,01/04/2010,0,914,
1006,1,41422063,0015300751003B,EVERYTHING EVERYWHERE LTD,01/04/2010,0,1006,
1006,1,98043063,0029500440999B,HAMPSTEAD AUDIO LIMITED,01/04/2010,0,1006,
1096,1,41419063,1.53E+11,BASE FOODS LTD - IN LIQUIDATION,01/04/2010,0,1096,
1096,1,137269063,69009210023,LAHD GALLERY LTD,21/10/2010,203,893,
1187,1,98053063,0023483401000B,HAMPSTEAD BUREAU LTD,01/04/2010,0,1187,
1187,1,178488063,1.54E+11,SAVILLS (UK) LIMITED,24/04/2012,754,433,
1279,1,32912063,1.59E+11,,01/04/2010,0,1279,
1279,1,102339063,1.53E+11,HOBBS LIMITED,01/04/2010,0,1279,
1279,1,3048676000,69007200006,LE PETIT NICOLA LTD,11/06/2012,802,477,
1371,1,4670343000,2.95E+11,THE BLACK CLOTHING CO LTD,01/04/2010,0,1371,
1401,1,102498063,1.53E+11,CRABTREE & EVELYN (OVERSEAS) LIMITED,10/11/2013,1319,82,
1461,1,7993663000,1.60E+11,CHARITIES ADVISORY TRUST,01/04/2011,365,1096,
1552,1,102497063,1.53E+11,PHONES 4U LTD - IN ADMINISTRATION,24/05/2012,784,768,
1552,1,216195063,1.59E+11,,01/04/2010,0,1552,
1552,1,6477509000,1.53E+11,SERAPHINE LTD,17/08/2010,138,1414,
1552,1,8484750000,1.53E+11,HAVENHALL LEISURE LTD,20/08/2012,872,680,
1644,1,32907063,1.59E+11,MYSTICAL FAIRIES LTD,01/04/2010,0,1644,
1644,1,112318063,00153006A00037,WILLOWACRE INVESTMENTS AND DEVELOPMENTS,01/04/2010,0,1644,
1736,1,259607000,001530001AB001,MONSOON ACCESSORIZE LTD,01/04/2010,0,4018,
1826,1,32948063,0015900053001B,MAYFAIR JEWELLERS LIMITED,01/04/2010,0,1826,
1917,1,2329962000,2.95E+11,GIRAFFE CONCEPTS LTD,01/04/2010,0,1917,
2003,1,272838000,0006900821001B,THE HUNDRED ACRES LTD,24/12/2010,267,1736,
2009,1,41429063,0015300820000B,MANISCO LIMITED,08/03/2013,1072,937,
2009,1,177831063,2.13E+11,SAVILLS (UK) LIMITED,01/04/2010,0,2009,
2009,1,178488063,1.54E+11,SAVILLS (UK) LIMITED,11/09/2013,1259,750,
2009,1,960725000,69005801008,ROMANO RETAIL LTD - IN LIQUIDATION,21/10/2010,203,1806,
2009,1,1884465000,1.53E+11,STARBUCKS COFFEE COMPANY (UK) LT,01/04/2010,0,2009,
2101,1,177831063,2.13E+11,SAVILLS (UK) LIMITED,02/12/2015,2071,30,
